_id,connectionTime,disconnectTime,doneChargingTime,kWhDelivered,siteID,stationID,spaceID,timezone,userInputs
5c43cf2ff9af8b230b4b7679,2019-01-03 15:49:45+00:00,2019-01-04 02:05:21+00:00,2019-01-04 01:10:49+00:00,6.413,0002,2-39-79-379,CA-327,America/Los_Angeles,"[{'userID': 1083, 'milesRequested': 20, 'WhPerMile': 400, 'minutesAvailable': 407, 'modifiedAt': 'Thu, 03 Jan 2019 15:50:27 GMT', 'paymentRequired': True, 'requestedDeparture': 'Thu, 03 Jan 2019 22:36:45 GMT', 'kWhRequested': 8.0}]"
5c43cf2ff9af8b230b4b767a,2019-01-03 15:59:29+00:00,2019-01-04 00:13:23+00:00,2019-01-03 22:48:47+00:00,1.15,0002,2-39-79-382,CA-491,America/Los_Angeles,
5c43cf2ff9af8b230b4b767b,2019-01-03 16:03:16+00:00,2019-01-04 04:53:10+00:00,2019-01-04 00:09:40+00:00,1.215,0002,2-39-79-377,CA-325,America/Los_Angeles,
5c43cf2ff9af8b230b4b767c,2019-01-03 16:10:45+00:00,2019-01-04 01:10:06+00:00,2019-01-03 17:35:06+00:00,4.128,0002,2-39-123-23,CA-313,America/Los_Angeles,"[{'userID': 858, 'milesRequested': 20, 'WhPerMile': 400, 'minutesAvailable': 76, 'modifiedAt': 'Thu, 03 Jan 2019 16:10:59 GMT', 'paymentRequired': True, 'requestedDeparture': 'Thu, 03 Jan 2019 17:26:45 GMT', 'kWhRequested': 8.0}]"
5c43cf2ff9af8b230b4b767d,2019-01-03 16:20:00+00:00,2019-01-04 02:33:38+00:00,2019-01-03 20:59:00+00:00,28.208,0002,2-39-79-380,CA-489,America/Los_Angeles,"[{'userID': 232, 'milesRequested': 100, 'WhPerMile': 400, 'minutesAvailable': 468, 'modifiedAt': 'Thu, 03 Jan 2019 16:21:10 GMT', 'paymentRequired': True, 'requestedDeparture': 'Fri, 04 Jan 2019 00:08:00 GMT', 'kWhRequested': 40.0}]"
5c43cf2ff9af8b230b4b767e,2019-01-03 16:20:05+00:00,2019-01-04 01:01:24+00:00,2019-01-04 01:01:20+00:00,10.707,0002,2-39-138-29,CA-304,America/Los_Angeles,"[{'userID': 1153, 'milesRequested': 40, 'WhPerMile': 500, 'minutesAvailable': 503, 'modifiedAt': 'Thu, 03 Jan 2019 16:20:16 GMT', 'paymentRequired': True, 'requestedDeparture': 'Fri, 04 Jan 2019 00:43:05 GMT', 'kWhRequested': 20.0}]"
5c43cf2ff9af8b230b4b767f,2019-01-03 16:26:30+00:00,2019-01-04 00:41:55+00:00,2019-01-03 18:50:44+00:00,13.526,0002,2-39-78-366,CA-323,America/Los_Angeles,"[{'userID': 945, 'milesRequested': 50, 'WhPerMile': 600, 'minutesAvailable': 555, 'modifiedAt': 'Thu, 03 Jan 2019 16:28:59 GMT', 'paymentRequired': True, 'requestedDeparture': 'Fri, 04 Jan 2019 01:41:30 GMT', 'kWhRequested': 30.0}]"
5c43cf2ff9af8b230b4b7680,2019-01-03 16:38:58+00:00,2019-01-04 01:32:36+00:00,2019-01-03 19:24:25+00:00,9.185,0002,2-39-131-30,CA-305,America/Los_Angeles,"[{'userID': 559, 'milesRequested': 40, 'WhPerMile': 313, 'minutesAvailable': 533, 'modifiedAt': 'Thu, 03 Jan 2019 16:41:25 GMT', 'paymentRequired': True, 'requestedDeparture': 'Fri, 04 Jan 2019 01:31:58 GMT', 'kWhRequested': 12.52}]"
5c43cf2ff9af8b230b4b7681,2019-01-03 16:42:04+00:00,2019-01-04 01:21:58+00:00,2019-01-03 19:56:59+00:00,19.835,0002,2-39-95-27,CA-319,America/Los_Angeles,"[{'userID': 1104, 'milesRequested': 100, 'WhPerMile': 250, 'minutesAvailable': 272, 'modifiedAt': 'Thu, 03 Jan 2019 16:42:36 GMT', 'paymentRequired': True, 'requestedDeparture': 'Thu, 03 Jan 2019 21:14:04 GMT', 'kWhRequested': 25.0}]"
5c43cf2ff9af8b230b4b7682,2019-01-03 16:42:27+00:00,2019-01-03 21:20:05+00:00,2019-01-03 19:39:55+00:00,1.071,0002,2-39-88-438,CA-502,America/Los_Angeles,
5c43cf2ff9af8b230b4b7683,2019-01-03 16:46:35+00:00,2019-01-04 00:18:11+00:00,2019-01-03 22:50:41+00:00,37.404,0002,2-39-91-441,CA-499,America/Los_Angeles,"[{'userID': 234, 'milesRequested': 150, 'WhPerMile': 250, 'minutesAvailable': 450, 'modifiedAt': 'Thu, 03 Jan 2019 16:47:20 GMT', 'paymentRequired': True, 'requestedDeparture': 'Fri, 04 Jan 2019 00:16:35 GMT', 'kWhRequested': 37.5}]"
5c43cf2ff9af8b230b4b7684,2019-01-03 16:48:36+00:00,2019-01-04 03:10:38+00:00,2019-01-03 18:13:27+00:00,6.566,0002,2-39-79-381,CA-490,America/Los_Angeles,"[{'userID': 558, 'milesRequested': 60, 'WhPerMile': 200, 'minutesAvailable': 514, 'modifiedAt': 'Thu, 03 Jan 2019 16:48:41 GMT', 'paymentRequired': True, 'requestedDeparture': 'Fri, 04 Jan 2019 01:22:36 GMT', 'kWhRequested': 12.0}]"
5c43cf2ff9af8b230b4b7685,2019-01-03 16:56:36+00:00,2019-01-03 23:54:46+00:00,2019-01-03 20:43:58+00:00,21.712,0002,2-39-95-444,CA-497,America/Los_Angeles,"[{'userID': 818, 'milesRequested': 100, 'WhPerMile': 250, 'minutesAvailable': 349, 'modifiedAt': 'Thu, 03 Jan 2019 16:57:00 GMT', 'paymentRequired': True, 'requestedDeparture': 'Thu, 03 Jan 2019 22:45:36 GMT', 'kWhRequested': 25.0}]"
5c43cf2ff9af8b230b4b7686,2019-01-03 17:08:09+00:00,2019-01-03 21:32:06+00:00,2019-01-03 18:06:08+00:00,2.398,0002,2-39-129-17,CA-307,America/Los_Angeles,"[{'userID': 891, 'milesRequested': 20, 'WhPerMile': 300, 'minutesAvailable': 339, 'modifiedAt': 'Thu, 03 Jan 2019 17:09:04 GMT', 'paymentRequired': True, 'requestedDeparture': 'Thu, 03 Jan 2019 22:47:09 GMT', 'kWhRequested': 6.0}]"
